Date,Belize,Costa Rica,El Salvador,Guatamala,Hondurus,Mexico,Nigaragua,Panama
1/1/2008,238.538,303.64,379.117,434.74,409.738,304.26,250.787,288.608
1/2/2008,236.262,304.429,381.782,439.227,415.854,305.725,257.276,290.511
1/3/2008,236.262,306.141,385.072,440.453,419.793,309.02,257.277,290.409
1/4/2008,236.262,299.302,385.529,435.461,414.738,312.061,255.375,290.409
1/5/2008,237.903,297.478,377.849,433.31,410.479,313.369,238.267,288.636
1/6/2008,237.903,292.137,375.97,420.836,411.373,314.305,232.403,288.636
1/7/2008,219.034,290.484,376.436,417.4,414.407,315.838,228.705,288.636
1/8/2008,215.455,293.457,385.541,428.187,414.929,319.032,229.082,288.485
1/9/2008,215.455,300.869,387.741,436.817,401.799,320.707,255.743,291.733
1/10/2008,212.274,299.761,390.91,430.846,401.259,322.386,249.657,291.733
1/11/2008,205.752,289.956,387.919,429.2,408.795,325.383,250.841,294.91
1/12/2008,207.321,282.592,382.638,427.78,409.648,326.471,249.035,300.184
1/13/2008,206.507,273.124,380.022,418.826,408.123,324.358,247.132,300.184
1/14/2008,211.288,270.549,381.722,435.921,407.649,325.723,245.197,300.184
1/15/2008,211.288,277.822,384.534,438.353,423.646,327.078,285.189,300.184
1/16/2008,190.634,288.321,387.911,436.093,425.834,326.805,284.791,304.501
1/17/2008,190.634,290.908,391.938,436.669,441.498,328.285,286.097,307.591
1/18/2008,190.111,290.908,394.147,425.793,441.516,328.572,284.271,309.715
1/19/2008,190.45,291.442,395.103,416.573,429.656,327.247,279.135,311.574
1/20/2008,190.45,293.318,393.286,410.628,432.846,325.364,282.876,313.891
1/21/2008,190.45,301.874,395.663,412.117,425.274,325.829,300.75,313.945
1/22/2008,195.318,304.128,397.763,419.833,424.774,325.304,302.148,313.945
1/23/2008,219.098,312.971,398.137,445.606,424.057,322.977,307.954,322.14
1/24/2008,219.098,320.481,399.125,458.251,418.211,323.191,306.094,364.495
1/25/2008,219.098,319.45,404.479,460.522,408.642,323.08,315.427,418.945
1/26/2008,208.313,314.2,407.606,461.349,404.012,322.612,313.495,420.199
1/27/2008,216.587,309.787,407.624,462.465,402.816,320.798,316.359,415.018
1/28/2008,216.587,313.487,416.004,463.482,419.246,321.505,330.336,452.889
1/29/2008,216.587,316.837,417.529,504.898,419.859,322.824,334.193,453.654
1/30/2008,230.753,321.468,422.362,517.333,421.821,323.017,387.942,459.086
1/31/2008,275.913,322.212,423.861,513.33,426.204,324.188,437.403,459.643
2/1/2008,275.913,326.929,426.096,504.388,429.232,324.647,432.016,467.533
2/2/2008,277.783,320.783,428.485,513.231,427.118,324.647,438.452,465.6
2/3/2008,277.783,320.905,428.47,512.595,431.996,323.447,442.878,469.122
2/4/2008,277.783,327.972,432.018,513.931,431.362,321.79,444.654,469.652
2/5/2008,277.783,333.648,433.795,514.715,429.379,323.554,443.038,478.147
2/6/2008,277.783,345.15,436.926,513.343,427.013,324.089,476.866,478.792
2/7/2008,276.958,354.8,434.519,506.227,425.653,323.794,506.186,478.707
2/8/2008,276.958,358.045,438.461,496.733,424.494,324.378,490.783,478.989
2/9/2008,276.958,362.315,435.686,495.376,424.718,323.779,522.349,487.379
2/10/2008,282.514,359.258,436.954,494.931,417.735,322.777,535.516,482.606
2/11/2008,281.638,365.316,438.419,492.362,411.299,322.445,533.18,496.679
2/12/2008,281.638,372.614,452.023,495.222,413.994,322.572,534.973,502.653
2/13/2008,281.889,389.384,459.266,489.757,413.044,323.301,534.226,505.828
2/14/2008,271.157,391.072,464.494,487.274,400.313,323.521,517.787,520.79
2/15/2008,272.082,387.575,462.288,474.782,383.002,322.701,527.814,532.297
2/16/2008,272.753,385.073,458.671,468.281,367.187,321.674,534.691,539.666
2/17/2008,272.753,381.921,458.182,456.471,364.602,319.88,539.891,540.963
2/18/2008,274.213,383.151,459.277,458.018,364.284,319.5,556.401,550.972
2/19/2008,271.326,381.879,463.451,451.408,359.945,320.286,555.53,552.151
2/20/2008,271.519,391.112,472.714,457.984,359.725,320.475,564.186,555.976
2/21/2008,267.332,396.855,474.173,446.236,363.434,320.976,566.106,563.702
2/22/2008,267.402,394.171,477.481,437.448,368.899,321.801,560.737,559.938
2/23/2008,267.402,387.665,477.179,419.956,372.114,323.439,565.184,532.713
2/24/2008,266.309,385.18,474.009,404.684,369.945,322.718,563.761,500.42
2/25/2008,266.566,398.906,475.395,405.289,377.263,322.183,580.199,504.482
2/26/2008,265.3,401.389,487.751,404.02,385.121,322.717,591.454,513.487
2/27/2008,267.62,400.408,488.233,399.223,371.997,323.776,573.029,491.994
2/28/2008,267.62,402.358,496.082,372.116,376.534,324.401,576.2,497.368
2/29/2008,264.678,401.671,507.904,357.831,379.569,324.401,537.536,500.487
3/1/2008,264.678,398.815,507.654,350.108,372.173,323.222,493.242,510.242
3/2/2008,264.678,392.913,508.02,353.207,370.339,322.542,494.062,504.071
3/3/2008,263.545,395.993,513.422,345.913,377.471,321.909,489.305,504.678
3/4/2008,257.314,399.075,518.452,353.509,387.192,321.536,490.553,499.213
3/5/2008,263.559,414.143,517.791,356.801,386.739,322.415,518.064,523.647
3/6/2008,263.559,420.025,519.602,368.754,388.415,324,537.641,535.404
3/7/2008,268.198,416.059,519.698,376.846,391.567,323.82,538.453,538.918
3/8/2008,268.198,403.454,516.197,372.78,394.282,323.204,516.302,544.836
3/9/2008,268.198,397.11,515.443,375.772,397.077,322.643,517.008,549.445
3/10/2008,268.198,395.433,520.939,381.343,401.612,321.824,511.96,546.059
3/11/2008,265.467,413.229,518.615,401.334,405.199,322.031,513.435,543.066
3/12/2008,267.183,423.24,523.514,399.16,408.193,322.77,532.036,533.092
3/13/2008,262.303,422.48,511.635,398.451,403.735,322.259,556.625,530.034
3/14/2008,244.166,427.662,505.045,393.619,411.339,322.664,551.001,530.596
3/15/2008,244.166,421.466,499.718,392.45,415.463,321.519,589.419,524.511
3/16/2008,244.838,417.079,504.307,395.835,415.523,320.175,584.256,512.085
3/17/2008,242.399,422.161,507.005,400.683,415.515,320.175,634.523,520.373
3/18/2008,242.399,420.306,507.165,404.289,414.224,320.38,632.194,520.951
3/19/2008,242.633,419.535,507.433,403.381,415.82,321.733,613.468,517.255
3/20/2008,242.633,416.153,504.484,405.991,416.351,322.277,616.528,517.903
3/21/2008,201.788,404.724,500.053,398.796,417.09,321.382,602.674,514.747
3/22/2008,201.788,396.357,498.385,404.402,413.404,320.358,605.924,516.594
3/23/2008,199.409,390.977,497.418,392.413,407.127,319.871,614.96,521.37
3/24/2008,198.562,398.539,496.995,399.186,409.523,318.937,626.137,525.987
3/25/2008,198.562,405.382,503.13,401.178,411.128,319.051,627.969,558.09
3/26/2008,185.804,403.933,509.076,399.701,409.847,319.895,652.91,578.743
3/27/2008,185.804,406.081,497.663,405.433,417.669,321.156,636.394,599.684
3/28/2008,185.804,405.034,496.449,408.929,428.857,321.65,648.867,622.67
3/29/2008,185.804,399.899,488.476,401.268,427.135,320.451,646.258,624.569
3/30/2008,184.34,397.671,474.334,400.574,423.544,318.93,644.921,623.982
3/31/2008,183.044,410.698,476.566,401.276,429.097,318.123,651.269,631.522
4/1/2008,180.453,411.604,475.802,401.03,437.597,319.875,658.025,633.295
4/2/2008,211.178,413.551,472.936,402.926,438.646,321.222,730.231,646.275
4/3/2008,211.178,419.682,479.062,395.904,433.05,320.587,725.68,661.488
4/4/2008,207.116,401.459,478.673,391.074,445.034,320.81,704.603,663.874
4/5/2008,207.116,397.694,476.227,380.641,446.242,319.945,692.327,654.615
4/6/2008,207.456,394.27,474.541,374.293,445.147,317.511,670.103,653.236
4/7/2008,207.456,408.351,490.445,372.874,461.7,317.14,685.598,667.639
4/8/2008,207.513,411.34,486.666,374.955,474.981,317.699,685.792,664.966
4/9/2008,207.513,412.005,485.105,368.048,480.042,319.004,653.03,690.764
4/10/2008,207.513,400.159,484.809,346.062,482.271,316.907,646.618,749.322
4/11/2008,203.696,388.741,482.141,349.991,481.875,316.684,633.695,790.086
4/12/2008,202.905,386.947,479.266,356.448,483.071,315.552,630.631,791.682
4/13/2008,202.905,373.438,478.172,354.029,478.466,313.788,675.165,791.074
4/14/2008,202.905,375.791,481.81,353.023,481.299,312.887,659.173,819.864
4/15/2008,196.897,393.027,480.318,350.758,484.868,313.46,651.229,838.313
4/16/2008,196.897,392.873,480.633,344.968,487.464,313.596,617.716,875.12
4/17/2008,201.168,405.566,486.043,352.386,487.222,312.234,617.346,886.251
4/18/2008,201.168,412.644,489.206,368.76,485.125,311.225,646.326,916.172
4/19/2008,201.168,418.172,487.034,383.386,485.564,310.128,643.901,929.043
4/20/2008,199.092,420.391,482.149,382.765,490.127,308.88,639.802,932.246
4/21/2008,200.039,450.914,481.298,380.378,497.89,308.696,635.933,996.219
4/22/2008,200.039,456.506,480.713,385.525,508.383,308.98,629.199,1026.31
4/23/2008,206.737,456.913,480.905,378.427,519.788,308.88,615.062,1031.71
4/24/2008,211.69,457.057,477.646,385.066,520.391,307.95,611.907,1003.37
4/25/2008,214.251,457.261,475.947,389.17,522.006,307.077,577.669,1004.89
4/26/2008,214.251,453.832,476.341,385.779,509.468,305.418,574.194,983.316
